Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
81,Bihar,8,2020,202008, 31-08-2020, M,13.44,23795534,34.59
82,Bihar,9,2020,202009, 30-09-2020, M,11.91,26902907,38.35
83,Bihar,10,2020,202010, 31-10-2020, M,9.82,25693252,35.7
84,Bihar,11,2020,202011, 30-11-2020, M,9.98,26021204,36.14
85,Bihar,12,2020,202012, 31-12-2020, M,12.65,24393328,34.84
86,Bihar,1,2021,202101, 31-01-2021, M,10.5,28016910,38.97
87,Bihar,2,2021,202102, 28-02-2021, M,11.47,25685968,36.05
88,Bihar,3,2021,202103, 31-03-2021, M,14.6,25734604,37.36
89,Bihar,4,2021,202104, 30-04-2021, M,11.54,24727431,34.58
90,Bihar,5,2021,202105, 31-05-2021, M,13.83,27342817,39.17
91,Bihar,6,2021,202106, 30-06-2021, M,10.5,25380747,34.94
92,Bihar,7,2021,202107, 31-07-2021, M,13.02,25373093,35.86
93,Bihar,8,2021,202108, 31-08-2021, M,13.61,23991739,34.06
94,Bihar,9,2021,202109, 30-09-2021, M,9.97,26732995,36.34
95,Bihar,10,2021,202110, 31-10-2021, M,13.88,24875414,35.28
96,Bihar,11,2021,202111, 30-11-2021, M,14.8,24569436,35.14
97,Bihar,12,2021,202112, 31-12-2021, M,15.98,23821810,34.48
98,Bihar,1,2022,202201, 31-01-2022, M,13.26,25633718,35.86
99,Bihar,2,2022,202202, 28-02-2022, M,13.89,24601362,34.6
100,Bihar,3,2022,202203, 31-03-2022, M,14.45,24069800,34
101,Bihar,4,2022,202204, 30-04-2022, M,21.05,23784643,36.33
102,Bihar,5,2022,202205, 31-05-2022, M,13.26,26704592,37.04
103,Bihar,6,2022,202206, 30-06-2022, M,13.98,24402703,34.06
104,Bihar,7,2022,202207, 31-07-2022, M,18.82,24153766,35.64
105,Bihar,8,2022,202208, 31-08-2022, M,12.78,23052532,31.59
106,Bihar,9,2022,202209, 30-09-2022, M,11.42,27320621,36.79
107,Bihar,10,2022,202210, 31-10-2022, M,15.04,24290536,34.03
108,Bihar,11,2022,202211, 30-11-2022, M,17.28,24176633,34.72
109,Bihar,12,2022,202212, 31-12-2022, M,19.08,23105715,33.84
110,Bihar,1,2023,202301, 31-01-2023, M,11.87,25992133,34.88
111,Chhattisgarh,1,2020,202001, 31-01-2020, M,9.65,8552172,43.08
112,Chhattisgarh,2,2020,202002, 29-02-2020, M,8.38,9195114,45.58
113,Chhattisgarh,3,2020,202003, 31-03-2020, M,7.54,9302317,45.59
114,Chhattisgarh,4,2020,202004, 30-04-2020, M,3.41,7600448,35.58
115,Chhattisgarh,5,2020,202005, 31-05-2020, M,10.5,6991217,35.23
116,Chhattisgarh,6,2020,202006, 30-06-2020, M,14.23,7332807,38.48
